Pre/Suf	Original	Fists																							
Suffix	+(21-25)% to Cold Resistance	"+2% to Maximum Cold Resistance
+(21-25)% to Cold Resistance"																							
Suffix	+(26-30)% to Cold Resistance	"+2% to Maximum Cold Resistance
+(26-30)% to Cold Resistance"																							
Suffix	+(31-35)% to Cold Resistance	"+2% to Maximum Cold Resistance
+(31-35)% to Cold Resistance"																							
Suffix	+(36-40)% to Cold Resistance	"+2% to Maximum Cold Resistance
+(36-40)% to Cold Resistance"																							
Suffix	+(41-45)% to Cold Resistance	"+3% to Maximum Cold Resistance
+(36-40)% to Cold Resistance"																							
Suffix	(10-14)% increased Critical Damage Bonus	+(0.5-1)% to Critical Hit Chance																							
Suffix	(15-19)% increased Critical Damage Bonus	+(1.1-1.5)% to Critical Hit Chance																							
Suffix	(20-24)% increased Critical Damage Bonus	+(1.6-2)% to Critical Hit Chance																							
Suffix	(25-29)% increased Critical Damage Bonus	+(2.1-2.5)% to Critical Hit Chance																							
Suffix	(30-34)% increased Critical Damage Bonus	+(2.5-3)% to Critical Hit Chance																							
Suffix	(10-19)% increased Duration of Damaging Ailments on Enemies	(10-22)% increased Duration of Ailments on Enemies																							
Suffix	(20-30)% increased Duration of Damaging Ailments on Enemies	(23-37)% increased Duration of Ailments on Enemies																							
Suffix	(15-21)% increased Curse Magnitudes	You can apply an additional Curse																							
Suffix	(22-29)% increased Curse Magnitudes	"You can apply an additional Curse
(5-15)% increased Curse Magnitudes"																							
Suffix	(20-34)% increased Exposure Effect	Damage Penetrates (4-8)% Elemental Resistances																							
Suffix	(35-50)% increased Exposure Effect	Damage Penetrates (9-15)% Elemental Resistances																							
Suffix	(20-30)% faster Curse Activation	Gain (1-10) Mana per Cursed Enemy Hit with Attacks																							
Suffix	"Leech (8-12)% of Physical Attack Damage as Life
Leech Life (15-25)% faster"	(15-35)% increased Damage while Leeching																							
Suffix	(50-99)% increased Curse Duration	Gain (1-10) Life per Cursed Enemy Hit with Attacks																							
Suffix	(30-40)% increased amount of Life Leeched	Leech (7-12)% of Physical Attack Damage as Life																							
Suffix	"Leech (8-12)% of Physical Attack Damage as Life
Leech Life (15-25)% slower"	(15-35)% increased Evasion while Leeching																							
Suffix	(15-24)% increased Withered Magnitude	Damage with Weapons Penetrates (5-9)% Chaos Resistance																							
Suffix	(25-35)% increased Withered Magnitude	Damage with Weapons Penetrates (10-17)% Chaos Resistance																							
Suffix	+(5-8) to Dexterity	+(15-18)% Surpassing chance to fire an additional Projectile																							
Suffix	+(9-12) to Dexterity	+(19-22)% Surpassing chance to fire an additional Projectile																							
Suffix	+(13-16) to Dexterity	+(23-26)% Surpassing chance to fire an additional Projectile																							
Suffix	+(17-20) to Dexterity	+(27-30)% Surpassing chance to fire an additional Projectile																							
Suffix	+(21-24) to Dexterity	+(31-35)% Surpassing chance to fire an additional Projectile																							
Suffix	+(25-27) to Dexterity	+(36-40)% Surpassing chance to fire an additional Projectile																							
Suffix	+(28-30) to Dexterity	+(41-45)% Surpassing chance to fire an additional Projectile																							
Suffix	+(31-33) to Dexterity	+(46-50)% Surpassing chance to fire an additional Projectile																							
Suffix	+(34-36) to Dexterity	+(51-60)% Surpassing chance to fire an additional Projectile																							
Suffix	(5-8)% increased Energy Shield Recharge Rate	(26-30)% faster start of Energy Shield Recharge																							
Suffix	(9-11)% increased Energy Shield Recharge Rate	(31-35)% faster start of Energy Shield Recharge																							
Suffix	(12-15)% increased Energy Shield Recharge Rate	(36-40)% faster start of Energy Shield Recharge																							
Suffix	(16-19)% increased Energy Shield Recharge Rate	(41-45)% faster start of Energy Shield Recharge																							
Suffix	(20-23)% increased Energy Shield Recharge Rate	(46-50)% faster start of Energy Shield Recharge																							
Suffix	(24-27)% increased Energy Shield Recharge Rate	(51-55)% faster start of Energy Shield Recharge																							
Suffix	(10-15)% increased Quantity of Gold Dropped by Slain Enemies	Charms gain (0.13-0.27) charges per Second																							
Suffix	(26-30)% of Lightning Damage taken Recouped as Life	(12-23)% of Damage taken from Deflected Hits Recouped as Life																							
Suffix	60% increased effect of Socketed Augment Items	"Life Flasks gain (0.13-0.27) charges per Second
Mana Flasks gain (0.13-0.27) charges per Second"																							
Suffix	Gain Deflection Rating equal to (8-11)% of Evasion Rating	Prevent +3% of Damage from Deflected Hits																							
Suffix	Gain Deflection Rating equal to (12-14)% of Evasion Rating	Prevent +4% of Damage from Deflected Hits																							
Suffix	Gain Deflection Rating equal to (15-17)% of Evasion Rating	Prevent +5% of Damage from Deflected Hits																							
Suffix	Gain Deflection Rating equal to (18-20)% of Evasion Rating	Prevent +6% of Damage from Deflected Hits																							
Suffix	Gain Deflection Rating equal to (21-23)% of Evasion Rating	Prevent +7% of Damage from Deflected Hits																							
Suffix	+(6-10)% to Fire Resistance	"+1% to Maximum Fire Resistance
+(11-15)% to Fire Resistance"																							
Suffix	+(11-15)% to Fire Resistance	"+1% to Maximum Fire Resistance
+(16-20)% to Fire Resistance"																							
Suffix	+(16-20)% to Fire Resistance	"+1% to Maximum Fire Resistance
+(21-25)% to Fire Resistance"																							
Suffix	+(21-25)% to Fire Resistance	"+2% to Maximum Fire Resistance
+(21-25)% to Fire Resistance"																							
Suffix	+(26-30)% to Fire Resistance	"+2% to Maximum Fire Resistance
+(26-30)% to Fire Resistance"																							
Suffix	+(31-35)% to Fire Resistance	"+2% to Maximum Fire Resistance
+(31-35)% to Fire Resistance"																							
Suffix	+(36-40)% to Fire Resistance	"+2% to Maximum Fire Resistance
+(36-40)% to Fire Resistance"																							
Suffix	+(41-45)% to Fire Resistance	"+3% to Maximum Fire Resistance
+(36-40)% to Fire Resistance"																							
Suffix	+1 to Level of all Melee Skills	+(10-12)% to Quality of all Skills																							
Suffix	+2 to Level of all Melee Skills	"+1 to Level of all Melee Skills
+(10-12)% to Quality of all Skills"																							
Suffix	(5-7)% increased Attack Speed	(8-12)% chance to gain Onslaught for 4 seconds on Hit																							
Suffix	(8-10)% increased Attack Speed	(14-18)% chance to gain Onslaught for 4 seconds on Hit																							
Suffix	(11-13)% increased Attack Speed	(20-24)% chance to gain Onslaught for 4 seconds on Hit																							
Suffix	(14-16)% increased Attack Speed	(26-30)% chance to gain Onslaught for 4 seconds on Hit																							
Suffix	+(5-8) to Intelligence	(5-8)% increased Cooldown Recovery Rate																							
Suffix	+(9-12) to Intelligence	(9-12)% increased Cooldown Recovery Rate																							
Suffix	+(13-16) to Intelligence	(13-16)% increased Cooldown Recovery Rate																							
Suffix	+(17-20) to Intelligence	(17-20)% increased Cooldown Recovery Rate																							
Suffix	+(21-24) to Intelligence	(21-24)% increased Cooldown Recovery Rate																							
Suffix	+(25-27) to Intelligence	(25-28)% increased Cooldown Recovery Rate																							
Suffix	+(28-30) to Intelligence	(29-32)% increased Cooldown Recovery Rate																							
Suffix	+(31-33) to Intelligence	10% increased Cooldown Recovery Rate																							
Suffix	(6-10)% increased Rarity of Items found	(15-20)% increased Quantity of Gold Dropped by Slain Enemies																							
Suffix	(11-14)% increased Rarity of Items found	(21-25)% increased Quantity of Gold Dropped by Slain Enemies																							
Suffix	(15-18)% increased Rarity of Items found	(26-30)% increased Quantity of Gold Dropped by Slain Enemies																							
Suffix	Gain (4-6) Life per enemy killed	Recover 1% of maximum Life on Kill																							
Suffix	Gain (7-9) Life per enemy killed	Recover 1% of maximum Life on Kill																							
Suffix	Gain (10-18) Life per enemy killed	Recover 1% of maximum Life on Kill																							
Suffix	Gain (19-28) Life per enemy killed	Recover 2% of maximum Life on Kill																							
Suffix	Gain (29-40) Life per enemy killed	Recover 2% of maximum Life on Kill																							
Suffix	Gain (41-53) Life per enemy killed	Recover 2% of maximum Life on Kill																							
Suffix	Gain (54-68) Life per enemy killed	Recover 2% of maximum Life on Kill																							
Suffix	Gain (69-84) Life per enemy killed	Recover 3% of maximum Life on Kill																							
Suffix	Gain 2 Life per Enemy Hit with Attacks	Gain (4-6) Life per Enemy Hit with Attacks if you have dealt a Critical Hit Recently																							
Suffix	Gain 3 Life per Enemy Hit with Attacks	Gain (7-9) Life per Enemy Hit with Attacks if you have dealt a Critical Hit Recently																							
Suffix	Gain 4 Life per Enemy Hit with Attacks	Gain (10-12) Life per Enemy Hit with Attacks if you have dealt a Critical Hit Recently																							
Suffix	Gain 5 Life per Enemy Hit with Attacks	Gain (13-15) Life per Enemy Hit with Attacks if you have dealt a Critical Hit Recently																							
Suffix	Leech (5-5.9)% of Physical Attack Damage as Life	"Leech (8-8.9)% of Physical Attack Damage as Life
Leech Life (20-25)% slower"																							
Suffix	Leech (6-6.9)% of Physical Attack Damage as Life	"Leech (9-10.9)% of Physical Attack Damage as Life
Leech Life (20-25)% slower"																							
Suffix	Leech (7-7.9)% of Physical Attack Damage as Life	"Leech (11-11.9)% of Physical Attack Damage as Life
Leech Life (20-25)% slower"																							
Suffix	Leech (8-8.9)% of Physical Attack Damage as Life	"Leech (12-13.9)% of Physical Attack Damage as Life
Leech Life (20-25)% slower"																							
Suffix	Leech (9-9.9)% of Physical Attack Damage as Life	"Leech (14-15)% of Physical Attack Damage as Life
Leech Life (20-25)% slower"																							
Suffix	+(6-10)% to Lightning Resistance	"+1% to Maximum Lightning Resistance
+(11-15)% to Lightning Resistance"																							
Suffix	+(11-15)% to Lightning Resistance	"+1% to Maximum Lightning Resistance
+(16-20)% to Lightning Resistance"																							
Suffix	+(16-20)% to Lightning Resistance	"+1% to Maximum Lightning Resistance
+(21-25)% to Lightning Resistance"																							
Suffix	+(21-25)% to Lightning Resistance	"+2% to Maximum Lightning Resistance
+(21-25)% to Lightning Resistance"																							
Suffix	+(26-30)% to Lightning Resistance	"+2% to Maximum Lightning Resistance
+(26-30)% to Lightning Resistance"																							
Suffix	+(31-35)% to Lightning Resistance	"+2% to Maximum Lightning Resistance
+(31-35)% to Lightning Resistance"																							
Suffix	+(36-40)% to Lightning Resistance	"+2% to Maximum Lightning Resistance
+(36-40)% to Lightning Resistance"																							
Suffix	+(41-45)% to Lightning Resistance	"+3% to Maximum Lightning Resistance
+(36-40)% to Lightning Resistance"																							
Suffix	Gain (2-3) Mana per enemy killed	Recover 1% of maximum Mana on Kill																							
Suffix	Gain (4-5) Mana per enemy killed	Recover 1% of maximum Mana on Kill																							
Suffix	Gain (6-9) Mana per enemy killed	Recover 1% of maximum Mana on Kill																							
Suffix	Gain (10-14) Mana per enemy killed	Recover 2% of maximum Mana on Kill																							
Suffix	Gain (15-20) Mana per enemy killed	Recover 2% of maximum Mana on Kill																							
Suffix	Gain (21-27) Mana per enemy killed	Recover 2% of maximum Mana on Kill																							
Suffix	Gain (28-35) Mana per enemy killed	Recover 2% of maximum Mana on Kill																							
Suffix	Gain (36-45) Mana per enemy killed	Recover 3% of maximum Mana on Kill																							
Suffix	Leech (4-4.9)% of Physical Attack Damage as Mana	"Leech (6-7.9)% of Physical Attack Damage as Mana
Leech Mana (20-25)% slower"																							
Suffix	Leech (5-5.9)% of Physical Attack Damage as Mana	"Leech (8-8.9)% of Physical Attack Damage as Mana
Leech Mana (20-25)% slower"																							
Suffix	Leech (6-6.9)% of Physical Attack Damage as Mana	"Leech (9-10.9)% of Physical Attack Damage as Mana
Leech Mana (20-25)% slower"																							
Suffix	Leech (7-7.9)% of Physical Attack Damage as Mana	"Leech (11-11.9)% of Physical Attack Damage as Mana
Leech Mana (20-25)% slower"																							
Suffix	Leech (8-8.9)% of Physical Attack Damage as Mana	"Leech (12-13)% of Physical Attack Damage as Mana
Leech Mana (20-25)% slower"																							
Suffix	Projectiles have (10-19)% chance to Chain an additional time from terrain	Attacks Chain an additional time																							
Suffix	Projectiles have (20-32)% chance to Chain an additional time from terrain	Attacks Chain 2 additional times																							
Suffix	Projectiles have (25-50)% chance for an additional Projectile when Forking	Projectiles have (45-64)% chance to Fork if you've dealt a Melee Hit in the past eight seconds																							
Suffix	Projectiles have (51-100)% chance for an additional Projectile when Forking	Projectiles have (65-85)% chance to Fork if you've dealt a Melee Hit in the past eight seconds																							
Suffix	(51-100)% chance to Pierce an Enemy	Projectiles Pierce 2 additional Targets																							
Suffix	(16-21)% increased Critical Hit Chance	Hits against you have (30-39)% reduced Critical Damage Bonus																							
Suffix	(22-27)% increased Critical Hit Chance	Hits against you have (40-49)% reduced Critical Damage Bonus																							
Suffix	(28-34)% increased Critical Hit Chance	Hits against you have (50-60)% reduced Critical Damage Bonus																							
Suffix	Mark Skills have (50-74)% increased Skill Effect Duration	When your Marks are Consumed, they have (10-19)% chance to Mark another Enemy within 3 metres																							
Suffix	Mark Skills have (75-100)% increased Skill Effect Duration	When your Marks are Consumed, they have (20-29)% chance to Mark another Enemy within 3 metres																							
Suffix	+(1-2) to Level of all Mark Skills	Enemies you Mark take (1-5)% increased Damage																							
Suffix	+(3-4) to Level of all Mark Skills	Enemies you Mark take (6-10)% increased Damage																							
Suffix	Mark Skills have (13-23)% increased Use Speed	(10-19)% increased Damage with Hits against Marked Enemy																							
Suffix	Mark Skills have (24-39)% increased Use Speed	(20-29)% increased Damage with Hits against Marked Enemy																							
Suffix	+1 to Level of all Projectile Skills	Projectiles have (25-44)% chance to Fork																							
Suffix	+2 to Level of all Projectile Skills	Projectiles have (45-65)% chance to Fork																							
Suffix	+(23-36)% Surpassing chance to fire an additional Projectile	Projectiles have (15-20)% chance to Shock																							
Suffix	+(37-50)% Surpassing chance to fire an additional Projectile	Projectiles have (21-25)% chance to Shock																							
Suffix	+(51-66)% Surpassing chance to fire an additional Projectile	Projectiles have (26-30)% chance to Shock																							
Suffix	15% reduced Attribute Requirements	+(5-10) to all Attributes																							
Suffix	20% reduced Attribute Requirements	+(11-15) to all Attributes																							
Suffix	25% reduced Attribute Requirements	+(16-20) to all Attributes																							
Suffix	30% reduced Attribute Requirements	+(21-25) to all Attributes																							
Suffix	35% reduced Attribute Requirements	+(26-30) to all Attributes																							
Suffix	+(5-8) to Strength	(7-10)% increased Area of Effect for Attacks																							
Suffix	+(9-12) to Strength	(11-13)% increased Area of Effect for Attacks																							
Suffix	+(13-16) to Strength	(14-16)% increased Area of Effect for Attacks																							
Suffix	+(17-20) to Strength	(17-19)% increased Area of Effect for Attacks																							
Suffix	+(21-24) to Strength	(20-22)% increased Area of Effect for Attacks																							
Suffix	+(25-27) to Strength	(23-25)% increased Area of Effect for Attacks																							
Suffix	+(28-30) to Strength	(26-28)% increased Area of Effect for Attacks																							
Suffix	+(31-33) to Strength	(29-32)% increased Area of Effect for Attacks																							
Suffix	+(100-150) to maximum Energy Shield	(7-16)% increased maximum Energy Shield																							
Suffix	(30-50)% increased chance to inflict Bleeding	Attacks have (35-80)% chance to cause Bleeding																							
Suffix	(20-40)% increased Magnitude of Chill you inflict	(20-50)% chance to Avoid being Chilled																							
Suffix	(10-20)% increased Curse Magnitudes	(20-30)% reduced effect of Curses on you																							
Suffix	(10-15)% increased Damage per Curse on you	(10-20)% increased Damage with Hits per Curse on Enemy																							
Suffix	(10-20)% increased Freeze Duration on Enemies	Regenerate (5-15)% of maximum Life per second while Frozen																							
Suffix	(5-10)% Global chance to Blind Enemies on Hit	Dazes on Hit																							
Suffix	+1 to Level of all Chaos Skills	Attacks have added Chaos damage equal to (1-3)% of maximum Life																							
Suffix	(20-40)% increased Ignite Magnitude	(20-50)% chance to Avoid being Ignited																							
Suffix	25% increased Attack Speed	Attack Skills have Added Lightning Damage equal to (1-5)% of maximum Mana																							
Suffix	(5-10)% increased maximum Life	+(205-221) to maximum Life																							
Suffix	(20-25)% increased amount of Life Leeched	Life Leech effects are not removed when Unreserved Life is Filled																							
Suffix	+(8-10) maximum Rage if you've used a Skill that Requires Glory in the past 20 seconds	Gain (1-3) Rage on Melee Hit																							
Suffix	(12-16)% chance that if you would gain Rage on Hit, you instead gain up to your maximum Rage	Gain 1% of Physical Damage as Extra Fire Damage per Rage																							
Suffix	(30-40)% increased Duration of Poisons you inflict when you've consumed a Frenzy Charge Recently	"(20-35)% increased Damage for each Poison on you up to a maximum of 75%
Poison you inflict is Reflected to you"																							
Suffix	(10-16)% increased Magnitude of Poison you inflict	Critical Hits Poison the enemy																							
Suffix	(30-60)% increased Magnitude of Poison you inflict on targets that are not Poisoned	(10-60)% reduced Poison Duration on you																							
Suffix	Recover (0.5-1)% of maximum Life per Poison affecting Enemies you Kill	"+(12-23)% to Chaos Resistance per Poison on you
Poison you inflict is Reflected to you"																							
Suffix	(40-60)% reduced Poison Duration on you	"(17-25)% increased Movement Speed for each Poison on you up to a maximum of 50%
Poison you inflict is Reflected to you"																							
Suffix	(20-40)% increased Magnitude of Shock you inflict	(20-50)% chance to Avoid being Shocked																							
